gene_id	log2FC	PValue	FDR	logCPM	LR	FDR	score
ENSG00000221996	0.33207589778212	0.57247923230448	0.748989671558604	-2.65645816035534	0.318551850237995	0.748989671558604	0.24224026350189
ENSG00000213439	-0.409205713439534	0.260846099360405	0.455120398622621	-2.82834005569962	1.26426089646597	0.455120398622621	0.583615653244529
ENSG00000243641	-0.0158012628961657	0.981329608808866	1	-2.53565002126289	0.000547653654805913	1	0.00818509736618458
ENSG00000166473	0.230819534851805	0.00265821642643572	0.0154862013888516	4.47313362239398	9.02836837654387	0.0154862013888516	2.57540966260294
ENSG00000241356	-0.00563820062388132	0.976587491717332	1	-2.64928084025184	0.000861272220795684	1	0.0102888425267355
ENSG00000164616	-0.432533321215483	0.185151104150501	0.362251177022441	-0.424376825440746	1.7557851825334	0.362251177022441	0.732473693687234
ENSG00000249948	0.303917833201949	0.510007245577787	0.699096834509861	-2.79324586158419	0.434052239424425	0.699096834509861	0.292423653917556
ENSG00000279922	-0.0782529978079725	0.971393268620232	1	-2.83574795799766	0.00128600454993766	1	0.012604910345397
ENSG00000232535	0.294432583400871	0.225474450054858	0.412759970397568	-2.83697359157568	1.46918421659284	0.412759970397568	0.646902663670076
ENSG00000249730	-0.352708999475329	0.446304267513687	0.644074215688477	-2.78637462030051	0.580020546396391	0.644074215688477	0.350368960462214
ENSG00000279260	-0.125829616232451	0.748296617540693	0.875257601209743	-2.80711126560675	0.102967965749835	0.875257601209743	0.125926217875631
ENSG00000197558	0.421689693279028	0.0210621690052643	0.0745412777565893	2.73911621475826	5.32164087485012	0.0745412777565893	1.67649690672542
ENSG00000279486	-0.428994501213231	0.205377454751885	0.388261072845	-1.1697178641355	1.6037155654659	0.388261072845	0.687447232667887
ENSG00000278870	-0.205183025893548	0.999585061785548	1	-2.84445515777039	2.70449874174844e-07	1	0.000180242774260914
ENSG00000244682	0.402609875615162	0.0550950326791192	0.153014691539511	2.29392678305021	3.67920746521554	0.153014691539511	1.25888755500111
ENSG00000258806	-0.465995531619751	0.161692948569893	0.329118451006105	-1.94011577883119	1.95832146501587	0.329118451006105	0.791308919264651
ENSG00000279270	-0.431334016449748	0.366055720756131	0.569858343051935	-2.76442350280713	0.817010353327952	0.569858343051935	0.436452801559065
ENSG00000279051	-0.547967021494092	0.228480907850623	0.416285778132805	-2.81403344158963	1.45029322536697	0.416285778132805	0.641150084266083
ENSG00000279761	-0.490491158943618	0.318026387529945	0.519069357596766	-2.69478113647438	0.997045831666021	0.519069357596766	0.497536843904871
ENSG00000211454	0.201917674373222	0.0803758192503729	0.200351676432069	1.0132914363853	3.05728593222477	0.200351676432069	1.09487458739147
ENSG00000279111	-0.112222760922829	0.605007044648528	0.774877291103035	-2.80722094363206	0.267509929737589	0.774877291103035	0.218239568431546
ENSG00000279514	0.468733507318927	0.163137509747366	0.330997322064366	-2.82924428729298	1.94489978038404	0.330997322064366	0.787446171373169
ENSG00000176748	-0.708934950992081	0.0952408690861247	0.226631247273497	-2.14245493383748	2.78348252092324	0.226631247273497	1.02117665025176
ENSG00000205702	0.347411684405536	0.135988892661923	0.292306774377172	0.414756850225338	2.22276985024719	0.292306774377172	0.866496562605015
ENSG00000272395	-0.255270707426594	0.289252457450655	0.487710090888904	-1.64015471339663	1.12309750450605	0.487710090888904	0.53872294265201
ENSG00000226807	0.129983529119387	0.777236902855545	0.89380290831647	-2.80055443826556	0.0800446564785666	0.89380290831647	0.109446587477745
ENSG00000204872	0.489136330192622	0.0896973676701386	0.217051504696772	-0.863664722559124	2.87979630546404	0.217051504696772	1.04722030191809
ENSG00000176510	-0.332235277723152	0.303645434884671	0.504124437809149	-2.27186720350543	1.05811530142381	0.504124437809149	0.517633243832705
ENSG00000277734	0.154954203495168	0.516059863780544	0.703181225642189	0.0862246895296793	0.421760560108382	0.703181225642189	0.287299916586812
ENSG00000227191	0.263619410191693	0.232250156451826	0.420835181679337	0.653512114545308	1.42702755387874	0.420835181679337	0.634043984778273
ENSG00000211689	0.303067437133465	0.156418489628983	0.321776326575105	0.174284219875778	2.00851375530121	0.321776326575105	0.805711911958861
ENSG00000211829	-0.141699548422951	0.518280808585026	0.705062159340939	-0.998971126144354	0.417313100934606	0.705062159340939	0.285434872348842
ENSG00000211772	-0.890056573325646	0.0107288012430873	0.0449761681004375	-0.27041456630448	6.50969327808164	0.0449761681004375	1.96944880017716
ENSG00000211678	0.474701459821997	0.0854819596562209	0.209870517714892	-2.81423340469386	2.95746318375331	0.209870517714892	1.06812553028279
ENSG00000211676	0.437947053317675	0.253847525366358	0.446827435309705	-2.82833682620496	1.30200382904498	0.446827435309705	0.595427065960277
ENSG00000211677	-0.0939373789997523	0.903984132709471	0.971291778759076	-2.04548899084696	0.014551588700499	0.971291778759076	0.0438391924640141
ENSG00000211679	1.25595947734999	0.109767275748383	0.251035440168133	-2.28806309382176	2.55756871949169	0.251035440168133	0.959527114167837
ENSG00000211899	-1.17157834717978	0.041988011007019	0.125219930419596	-1.4568556468974	4.13568740579103	0.125219930419596	1.37687469762057
ENSG00000211896	0.647322708299951	0.0418749771904562	0.125023930034805	0.195376666123218	4.14025029892846	0.125023930034805	1.37804541651776
ENSG00000211892	0.221276894174425	0.860824970184133	0.946473594612409	-2.37875244411124	0.0307385426313225	0.946473594612409	0.0650851437967656
ENSG00000211675	-1.12127224186554	0.144133699720644	0.304522007798625	-2.53937052583493	2.1332624328209	0.304522007798625	0.84123446546208
ENSG00000211895	-0.650309417054017	0.368346912330553	0.572118654698247	-2.25980386317708	0.809233673644947	0.572118654698247	0.433742966269048
ENSG00000211897	-0.368111173929484	0.567782028224795	0.745373746953887	-2.13635233215881	0.326407754040957	0.745373746953887	0.245818358140427
ENSG00000211898	-0.18828719933427	0.915685551966189	0.977163189091906	-2.7924049387608	0.0112084421771819	0.977163189091906	0.0382536382221507
ENSG00000211592	0.368654567806605	0.450650254969347	0.647497184852994	-0.378113424909563	0.56901585405214	0.647497184852994	0.346160378881871
ENSG00000211890	0.456107262904604	0.4029377194445	0.605266224978854	-2.60444830251823	0.699541738952135	0.605266224978854	0.394762075923001
ENSG00000211893	1.31956779352028	0.335246413056678	0.53830169235323	-2.27288881694942	0.92852532034593	0.53830169235323	0.474635860152053
ENSG00000211685	0.730847371329137	0.0831087520332455	0.205532806865605	-2.80095652561649	3.00303389274215	0.205532806865605	1.08035323903657
ENSG00000211891	0.300894337353344	0.566562379493694	0.744282031837305	-2.78626986348115	0.328468340624863	0.744282031837305	0.246752266597664
ENSG00000211658	0.0990975761677731	0.999909400395761	1	-2.84458095839111	1.28935491478667e-08	1	3.93486906979843e-05
ENSG00000211642	-0.0708566678964089	0.461523100103467	0.656770950090836	-2.79907703925989	0.542198311619845	0.656770950090836	0.335806556834392
ENSG00000211637	0.0443277526733969	0.559035098929	0.737704346883448	-2.80694144533455	0.341377640811687	0.737704346883448	0.252560924148187
ENSG00000211639	-0.461800348544059	0.236786160296323	0.426353497709814	-2.82186179947917	1.39962623975991	0.426353497709814	0.625643684899226
ENSG00000211645	0.0613817875583379	0.815826185178444	0.918844653567487	-1.69687150119929	0.0542501322341593	0.918844653567487	0.0884023594553029
ENSG00000211633	-0.158976581035288	0.648918003238846	0.806902415306452	-2.78595164198091	0.207266979231914	0.806902415306452	0.187810176837043
ENSG00000211623	-0.0780105797611413	0.736788916121063	0.867228849722715	-2.80718099785369	0.112969042099251	0.867228849722715	0.132656916068084
ENSG00000242580	0.210157409146558	0.618686508875465	0.784928953242818	-2.57657642277595	0.247717997436041	0.784928953242818	0.208529354134875
ENSG00000211938	0.601968584386039	0.529941094853564	0.714768984284641	-2.73051646262112	0.394504505505111	0.714768984284641	0.27577240134597
ENSG00000211949	0.667978420416317	0.273711641551837	0.469588504726324	-2.47441160473483	1.19805063681073	0.469588504726324	0.562706730707508
ENSG00000211959	0.10189643208992	0.934404201078394	0.987003559842436	-2.82220435418687	0.00677410834857284	0.987003559842436	0.0294652176406403
ENSG00000211945	-0.674002824239415	0.426813654092968	0.627162747570054	-2.76426652548629	0.631478102434581	0.627162747570054	0.369761695615
ENSG00000211957	0.169728483169121	0.764663662677818	0.885560530514855	-2.84424564299726	0.0896177564181189	0.885560530514855	0.116529547281279
