gene_id	log2FC	PValue	FDR	PE_L2H	Critical_L2H	Area_L2H	PeakH_L2H	PeakX_L2H	PE_H2L	Critical_H2L	Area_H2L	PeakH_H2L	PeakX_H2L	direction_best	TE_score_L2H	TE_score_any	fc_thresh	pass_fc	stat_name	score
ENSG00000170178	0.121472173098949	0.281656126708668	0.465710228399427	0.0527748591078422	0.000178003491815959	-0.0307301119177253	0.058983666061706	0.105263157894737	0.112532238036107	0.00666629418196218	0.0482172565033273	0.20961887477314	0.463157894736842	H2L	0.0307301119177253	0.112532238036107	1.5	FALSE	PE	0.550280797360185
ENSG00000187987	0.174542407834708	0.920784164972568	0.948527010806174	0.0172413793103448	8.97249781152192	-0.0602219449485783	0.0172413793103448	0	0.0332887572834082	16.2595360060652	0.0504858590441621	0.186025408348457	0.821052631578947	H2L	0.0602219449485783	0.0332887572834082	1.5	FALSE	PE	0.0358421580187589
ENSG00000178175	0.428824831493726	0.0509485962198396	0.153089240316812	0	5.56399057205534	-0.150512326073805	1.4507451501454e-17	1	0.161276148629286	0.562794724478245	0.143498563218391	0.364791288566243	0.557894736842105	H2L	0.150512326073805	0.161276148629286	1.5	FALSE	PE	1.29286777755306
ENSG00000055957	0.178235904617067	0.0257368586381228	0.098554387201877	0.0341197822141561	0	-0.0624905474894132	0.0344827586206897	0.0105263157894737	0.179931225522973	0.0185157079361895	0.0781628100423472	0.247731397459165	0.273684210526316	H2L	0.0624905474894132	0.179931225522973	1.5	FALSE	PE	1.58944446284674
ENSG00000116703	-0.25096428423908	0.00125215096143778	0.0135562724403606	0.2338809819467	13.1129090222912	0.128525786448881	0.376588021778584	0.378947368421053	0	4.72081110268581	-0.0928898215366001	1.4507451501454e-17	1	L2H	0.128525786448881	0.2338809819467	1.5	FALSE	PE	2.90234330869143
ENSG00000277291	0	0.270914259861825	0.456429620243672	0.113296398891967	0.0205229385434318	0.101302555958863	0.371143375680581	0.694736842105263	0.000277008310249309	0.00917297573334919	-0.140984195402299	0.0263157894736842	0.989473684210526	L2H	0.101302555958863	0.113296398891967	1.5	FALSE	PE	0.567168134810635
ENSG00000189144	0.153502905175366	0.253865803713779	0.437343777574459	0	292.13911426264	-0.0679351935874168	1.4507451501454e-17	1	0.116276626229821	150.784474290844	0.0631900332728373	0.23502722323049	0.505263157894737	H2L	0.0679351935874168	0.116276626229821	1.5	FALSE	PE	0.595395795615488
ENSG00000155545	-0.125432850528018	0.0296363467537522	0.106617631061562	0.175451332505492	33.8896706542377	0.111284407138536	0.297640653357532	0.410526315789474	0	19.7744274971535	-0.10786259830611	1.4507451501454e-17	1	L2H	0.111284407138536	0.175451332505492	1.5	FALSE	PE	1.52817533248996
ENSG00000136807	0	0.151987577271623	0.315089239984062	0.00110803324099723	89.4061458833608	-0.0702037961282517	0.0526315789473684	0.978947368421053	0.134072022160665	63.1086954087071	0.0736256049606776	0.219600725952813	0.389473684210526	H2L	0.0702037961282517	0.134072022160665	1.5	FALSE	PE	0.818191907731962
ENSG00000091947	0.0149912314830651	0.242383472713659	0.424502347029017	0.0341197822141561	11.925281952079	-0.035721037507562	0.0344827586206897	0.0105263157894737	0.116916610946604	22.0650117288258	0.05230074107683	0.185117967332123	0.368421052631579	H2L	0.035721037507562	0.116916610946604	1.5	FALSE	PE	0.615496996527056
